iter	Passed	Remaining
792	1464	382
793	1466	380
794	1468	378
795	1469	376
796	1471	374
797	1473	372
798	1474	370
799	1476	369
800	1477	367
801	1482	366
802	1484	364
803	1485	362
804	1487	360
805	1489	358
806	1490	356
807	1492	354
808	1493	352
809	1496	351
810	1498	349
811	1500	347
812	1502	345
813	1503	343
814	1505	341
815	1506	339
816	1508	337
817	1510	336
818	1512	334
819	1515	332
820	1517	330
821	1519	329
822	1521	327
823	1523	325
824	1527	323
825	1529	322
826	1531	320
827	1533	318
828	1535	316
829	1537	314
830	1541	313
831	1544	311
832	1545	309
833	1547	308
834	1549	306
835	1551	304
836	1553	302
837	1558	301
838	1559	299
839	1561	297
840	1564	295
841	1566	293
842	1568	292
843	1571	290
844	1573	288
845	1575	286
846	1577	284
847	1578	282
848	1580	281
849	1582	279
850	1584	277
851	1593	276
852	1595	274
853	1597	273
854	1602	271
855	1604	269
856	1606	268
857	1624	268
858	1626	266
859	1627	264
860	1629	263
861	1631	261
862	1636	259
863	1637	257
864	1639	255
865	1640	253
866	1642	251
867	1644	250
868	1646	248
869	1649	246
870	1651	244
871	1653	242
872	1654	240
873	1655	238
874	1657	236
875	1659	234
876	1663	233
877	1664	231
878	1666	229
879	1667	227
880	1669	225
881	1671	223
882	1672	221
883	1674	219
884	1679	218
885	1680	216
886	1681	214
887	1683	212
888	1684	210
889	1686	208
890	1689	206
891	1692	204
892	1694	203
893	1696	201
894	1697	199
895	1699	197
896	1701	195
897	1702	193
898	1703	191
899	1705	189
900	1708	187
901	1710	185
902	1712	183
903	1713	181
904	1715	180
905	1716	178
906	1717	176
907	1721	174
908	1722	172
909	1724	170
910	1725	168
911	1727	166
912	1728	164
913	1729	162
914	1731	160
915	1732	158
916	1734	157
917	1736	155
918	1738	153
919	1739	151
920	1741	149
921	1743	147
922	1744	145
923	1745	143
924	1747	141
925	1749	139
926	1750	137
927	1752	135
928	1753	134
929	1755	132
930	1756	130
931	1757	128
932	1759	126
933	1760	124
934	1763	122
935	1764	120
936	1766	118
937	1768	116
938	1769	114
939	1771	113
940	1773	111
941	1774	109
942	1775	107
943	1778	105
944	1780	103
945	1781	101
946	1783	99
947	1785	97
948	1786	96
949	1788	94
950	1790	92
951	1792	90
952	1793	88
953	1794	86
954	1796	84
955	1797	82
956	1799	80
957	1800	78
958	1803	77
959	1804	75
960	1807	73
961	1808	71
962	1809	69
963	1811	67
964	1813	65
965	1814	63
966	1816	61
967	1817	60
968	1822	58
969	1825	56
970	1829	54
971	1831	52
972	1833	50
973	1836	49
974	1837	47
975	1839	45
976	1840	43
977	1842	41
978	1843	39
979	1845	37
980	1846	35
981	1850	33
982	1851	32
983	1853	30
984	1855	28
985	1856	26
986	1858	24
987	1859	22
988	1860	20
989	1862	18
990	1864	16
991	1865	15
992	1867	13
993	1868	11
994	1869	9
995	1871	7
996	1872	5
997	1874	3
998	1876	1
999	1877	0
